000008	Menu00
000028	Menu2
000048	MenuB01
000068	MenuB02
000088	MenuB03
0000A8	MenuB04
0000C8	MenuB05
0000E8	Menu3
000108	MenuCa1
000128	MenuCa2
000148	MenuCa3
000168	MenuCa4
000188	Menu4
0001A8	MenuOp1
0001C8	MenuOp2
0001E8	MenuOp3
000208	MenuOp4
000228	Menu5
000248	MenuRe1
000268	MenuRe2
000288	MenuRe3
0002A8	Menu6
0002C8	Main
0002E8	Quest
000308	Menu0
000556	 Описание игры
000565	 Торговая сессия
000576	 Инструкция
000582	 Знакомство
00058E	 Описание игры
00059D	 Торговая сессия
0005AE	 Описание игры
0005BD	 Торговая сессия
0005CE	 Описание игры
0005DD	 Торговая сессия
0005EE	 Описание игры
0005FD	 Торговая сессия
00060E	 Описание игры
00061D	 Торговая сессия
00062E	 Case B01
000638	 Case B02
000642	 Case B03
00064C	 Case B04
000656	 Дюрация
00065F	 Описание игры
00066E	 Торговая сессия
00067F	 Описание игры
00068E	 Торговая сессия
00069F	 Описание игры
0006AE	 Торговая сессия
0006BF	 Описание игры
0006CE	 Торговая сессия
0006DF	 Case CA1
0006E9	 Case CA2
0006F3	 Case CA3
0006FD	 Портфель акций
00070D	 Описание игры
00071C	 Торговая сессия
00072D	 Описание игры
00073C	 Торговая сессия
00074D	 Описание игры
00075C	 Торговая сессия
00076D	 Описание игры
00077C	 Торговая сессия
00078D	 Case OP1
000797	 Case OP2
0007A1	 Case OP3
0007AB	 Опционы
0007B4	 Описание игры
0007C3	 Торговая сессия
0007D4	 Описание игры
0007E3	 Торговая сессия
0007F4	 Описание игры
000803	 Торговая сессия
000814	 Case RE1
00081E	 Case RE2
000828	 Case RE3K  Информация   Торги   Облигации   Акции   Опционы  Эффективность   Конец    Вы завершаете работу?  Да  Нет 
00089F	+    Лаборатория экспериментальной экономики
0008CD	              Программа FAST. Финансовый анализ и торговля Ценными бумагами           Курс заочного обучения
00093A	                   1994 г.
000955	Продолжить работу
000967	Завершение работы с системой
000984	 Конец работы со стендом# Информационная эффективность рынка
0009C1	 Опционы& Определение цен фиксированных активов& Временная структура процентных ставок@ Описание торговой системы и правил проведения двойного аукциона  Общие сведения о программе FAST
000A7D	 Проведение торговой сессии
000A9A	 Проведение торговой сессии
000AB7	 Проведение торговой сессии
000AD4	 Опционные стратегии
000AE9	 Дельта-хеджирование
000AFE	 Двухпериодные опционы" Однопериодные европейские опционы
000B38	 Проведение торговой сессии
000B55	 Проведение торговой сессии
000B72	 Проведение торговой сессии
000B8F	 Проведение торговой сессии
000BAB	M Модель ценообразования: рыночный портфель акций, равновесие, бета актива ...) Рынок акций: инвесторы, склонные к риску3 Управление портфелем акций при фиксированных ценах) Рынок акций: инвесторы, избегающие риска
000C82	 Проведение торговой сессии
000C9F	 Проведение торговой сессии
000CBC	 Проведение торговой сессии
000CD9	 Проведение торговой сессии
000CF5	F Управление портфелем облигаций при неопределенности процентной ставкиF Управление портфелем облигаций при неопределенности процентной ставки
000D84	 Облигации и фьючерсы! Купонные и бескупонные облигации
000DBC	 Купонные облигации
000DD0	 Проведение торговой сессии
000DED	 Проведение торговой сессии
000E0A	 Проведение торговой сессии
000E27	 Проведение торговой сессии
000E44	 Проведение торговой сессии
000E61	 Знакомство с двойным аукционом
000E81	 Правила двойного аукциона
000E9C	 Проведение торговой сессии
